player id,move from id,move from,move to,move to id,market value,transfer fee,source,target
2452,32358,FC Köniz,SC Brühl SG,13544,£21k,?,148,148
3146,405,Aston Villa,Stoke City,512,£425k,Free transfer,189,189
3721,541,SC Austria Lustenau,WSG Wattens,2446,£85k,Free transfer,127,127
3707,45299,Chennaiyin FC,East Bengal FC,14099,£170k,?,67,67
3707,786,AEL Limassol,Chennaiyin FC,45299,£170k,Free transfer,188,67
4010,36,Fenerbahce SK,Feyenoord Rotterdam,234,£1.70m,Free transfer,174,122
4323,3057,Standard Liège,Los Angeles Galaxy,1061,£1.28m,Free transfer,19,184
4315,44,Hertha BSC,Ajax Amsterdam,610,£850k,Free transfer,40,122
4624,180,Southampton FC,AIK Solna,272,£1.28m,Free transfer,189,147
5169,45278,Atlético de Kolkata,Rio Ave FC,2425,£1.28m,Free transfer,67,136
5169,897,Deportivo de La Coruña,Atlético de Kolkata,45278,£1.28m,Free transfer,157,67
5477,244,Olympique Marseille,Al-Arabi Sports Club,1230,£425k,Free transfer,50,137
5825,4102,Carpi FC 1909,Atalanta BC,800,£680k,Free transfer,75,75
5817,506,Juventus FC,New York City FC,40058,£850k,Free transfer,75,184
6645,33,FC Schalke 04,Philadelphia Union,25467,£2.13m,Free transfer,40,184
6636,33,FC Schalke 04,Leicester City,1003,£2.55m,Free transfer,40,189
6949,6894,Kayseri Erciyesspor,Karsiyaka,2330,£213k,Free transfer,174,174
6946,12382,Amed Sportif Faaliyetler,Gümüshanespor,4574,£64k,?,174,174
7955,200,FC Utrecht,FC Volendam,724,£85k,Free transfer,122,122
7949,10680,Bidvest Wits FC,FC Volendam,724,£425k,Free transfer,159,122
7947,279,Ferencváros Budapest,FC Volendam,724,£170k,Free transfer,178,122
7945,3302,UD Almería,Brisbane Roar,7831,£850k,?,157,12
8560,1037,Club Universidad de Chile,Universidad Concepción,5622,£638k,Free transfer,33,33
8559,1032,Reading FC,Kayserispor,3205,£1.28m,Free transfer,189,174
8694,518,Sariyer,Göztepe,1467,£85k,Free transfer,174,174
8694,11282,Aytemiz Alanyaspor,Sariyer,518,£85k,Free transfer,174,174
9203,1035,Sheffield Wednesday,Rotherham United,1194,£340k,Free transfer,189,189
9799,419,GNK Dinamo Zagreb,NK Lokomotiva Zagreb,11194,£213k,?,37,37
10387,5551,Newcastle United Jets,Sydney FC,8054,£425k,Free transfer,12,12
12530,1467,Göztepe,Kayseri Erciyesspor,6894,£85k,Free transfer,174,174
12817,370,Aberdeen FC,St. Mirren FC,465,£298k,Free transfer,190,190
13103,6894,Kayseri Erciyesspor,Göztepe,1467,£850k,Free transfer,174,174
13389,19771,Akhisar Belediye Genclik ve Spor,FC Pune City,45275,£595k,Free transfer,174,67
13702,511,Dundee FC,Queen of the South FC,3001,£340k,Free transfer,190,190
13686,3,1. FC Köln,MSV Duisburg,52,£340k,Free transfer,40,40
14608,2999,Hamilton Academical FC,Forfar Athletic FC,3016,£43k,Free transfer,190,190
15220,180,Southampton FC,AFC Bournemouth,989,£850k,Free transfer,189,189
15838,989,AFC Bournemouth,Blackburn Rovers,164,£425k,?,189,189
16162,1066,Nagoya Grampus,NK Maribor,790,£340k,Free transfer,77,155
16152,124,Rangers FC,Raith Rovers FC,2795,£213k,Free transfer,190,190
16690,232,Spartak Moscow,Rubin Kazan,2698,£1.19m,Free transfer,141,141
17313,132,NAC Breda,Excelsior Rotterdam,798,£340k,Free transfer,122,122
17311,468,Sparta Rotterdam,RKC Waalwijk,235,£128k,Free transfer,122,122
17302,260,FC Zürich,Novara Calcio 1908,6692,£255k,Free transfer,148,75
19477,23826,RasenBallsport Leipzig,SC Paderborn 07,127,£425k,Free transfer,40,40
19471,83,VfR Aalen,Eintracht Braunschweig,23,£425k,Free transfer,40,40
19896,354,KV Mechelen,KV Oostende,2861,£680k,Free transfer,19,19
20405,8718,Sport Club do Recife,Goiás Esporte Clube,3197,£850k,Free transfer,26,26
20394,294,SL Benfica,Osmanlispor FK,2944,£595k,Free transfer,136,174
20726,237,RCD Mallorca,AC Perugia Calcio,839,£595k,?,157,75
20726,1025,Bologna FC 1909,RCD Mallorca,237,£595k,Free transfer,75,157
20714,358,Charlton Athletic,Maccabi Tel Aviv,119,£425k,Free transfer,189,74
20833,10816,AO Agia Napa,GS Ergotelis,5220,£213k,Free transfer,188,56
21357,2311,SK Sigma Olomouc,TJ Iskra Borcice,46971,£170k,Free transfer,172,154
21490,1090,AZ Alkmaar,Umm-Salal Sport Club,10920,£425k,£85k,122,137
22305,4102,Carpi FC 1909,SS Akragas Città dei Templi,31255,£43k,Free transfer,75,75
22613,2795,Raith Rovers FC,Salgaocar SC Goa,27140,£191k,Free transfer,190,67
22611,3012,Stenhousemuir FC,Ayr United FC,1192,£85k,Free transfer,190,190
22714,1143,CD El Nacional,CD River Plate Ecuador,25569,£510k,Free transfer,44,44
22898,20100,FC Vestsjaelland,HB Köge,23297,£170k,Free transfer,39,39
22887,20100,FC Vestsjaelland,Vejle Boldklub,443,£255k,Free transfer,39,39
23201,20100,FC Vestsjaelland,Nyköbing FC,5733,£128k,Free transfer,39,39
23190,20519,Virtus Entella,FC Südtirol  Alto Adige,4554,£85k,Free transfer,75,75
23489,2802,Airdrieonians FC,Ayr United FC,1192,-,Free transfer,190,190
24648,6078,Paykan FC,Esteghlal FC,1076,£468k,?,71,71
24943,312,Dinamo Bukarest,CD Feirense,3349,£298k,Free transfer,140,136
25060,11127,Ural Yekaterinburg,FK Tosno,40426,£255k,Free transfer,141,141
25550,6630,Sanliurfaspor,Akhisar Belediye Genclik ve Spor,19771,£85k,Free transfer,174,174
26136,5648,Gimnàstic de Tarragona,Real Murcia CF,171,£170k,Free transfer,157,157
26461,288,Estudiantes de La Plata,Club Atlético Newell's Old Boys,1286,£680k,Free transfer,9,9
26460,3711,CD Cruz Azul,Club Atlético San Lorenzo de Almagro,1775,£2.55m,Free transfer,110,9
26460,20,Bursaspor,CD Cruz Azul,3711,£3.83m,Free transfer,174,110
26456,379,West Ham United,ACF Fiorentina,430,£2.55m,£1.79m,189,75
26443,762,Newcastle United,Deportivo de La Coruña,897,£1.28m,Free transfer,189,157
27399,21283,SCG Muangthong United,Seoul E-Land FC,46292,£425k,Free transfer,167,87
27395,12533,Chonburi FC,Incheon United FC,2996,£298k,Free transfer,167,87
28033,413,LASK Linz,SV Horn,10044,£149k,Free transfer,127,127
28031,19,Brescia Calcio,FC Empoli,749,£765k,Free transfer,75,75
28396,281,Manchester City,AS Roma,12,£17.00m,Loan fee:£3.40m,189,75
28692,7567,FK Radnicki Nis,FK Radnik Surdulica,33328,£255k,Free transfer,215,215
28689,4645,FK Radnicki 1923 Kragujevac,FK Metalac Gornji Milanovac,12135,£128k,Free transfer,215,215
29004,1181,Blackpool FC,Doncaster Rovers,2454,£425k,Free transfer,189,189
29288,290,AJ Auxerre,Clermont Foot Auvergne 63,3524,£213k,Free transfer,50,50
29608,5174,AC Pavia,SS Juve Stabia,5587,£213k,?,75,75
29931,34853,Suphanburi FC,Adelaide United,875,£298k,?,167,12
30540,8936,Miedz Legnica,Chrobry Glogow,8377,£128k,Free transfer,135,135
30540,8377,Chrobry Glogow,Miedz Legnica,8936,£128k,Free transfer,135,135
30846,472,UD Las Palmas,Real Zaragoza,142,£680k,Free transfer,157,157
30834,10511,Club Atlético San Martín (SJ),CA All Boys Buenos Aires,12100,£425k,Free transfer,9,9
30832,11470,CD O'Higgins,Argentinos Juniors,1030,£553k,Free transfer,33,9
30832,4673,Arsenal de Sarandí FC,CD O'Higgins,11470,£1.28m,Free transfer,9,33
31454,20664,Menemen Belediyespor,Tuzlaspor,39805,£213k,?,174,174
31453,8956,Inter Baku,ADO Den Haag,1268,£850k,Free transfer,13,122
31451,23,Eintracht Braunschweig,SV Wehen Wiesbaden,108,£340k,?,40,40
31776,430,ACF Fiorentina,Dynamo Kyiv,338,£425k,Free transfer,75,177
31774,2155,FC Biel-Bienne,FC Rapperswil-Jona,8463,£213k,Free transfer,148,148
31773,995,FC Nantes,Kasimpasa,10484,£1.28m,Free transfer,50,174
32382,384,MVV Maastricht,KSV Roeselare,2977,£213k,Free transfer,122,19
32380,2381,Sivasspor,Antalyaspor,589,£1.70m,Free transfer,174,174
32980,4892,Dolcan Zabki,Stomil Olsztyn,9055,£85k,Free transfer,135,135
32973,6361,Podbeskidzie Bielsko-Biala,GKS Tychy,1750,£128k,Free transfer,135,135
33273,938,FC Thun,FC Winterthur,242,£213k,Free transfer,148,148
33550,1467,Göztepe,Kocaeli Birlikspor,12511,£43k,Free transfer,174,174
33542,3385,Panserraikos Serres,PAS Lamia 1964,3999,£298k,Free transfer,56,56
33837,2036,1.FC Heidenheim 1846,Chemnitzer FC,21,£425k,?,40,40
33837,23826,RasenBallsport Leipzig,1.FC Heidenheim 1846,2036,£425k,Free transfer,40,40
34432,6361,Podbeskidzie Bielsko-Biala,Bruk-Bet Termalica Nieciecza,15906,£43k,Free transfer,135,135
34736,503,FC Admira Wacker Mödling,SV Grödig,10131,£298k,Free transfer,127,127
35021,12382,Amed Sportif Faaliyetler,Kocaeli Birlikspor,12511,£85k,Free transfer,174,174
35640,1465,GD Estoril Praia,Al-Faisaly Harmah,28848,£765k,Free transfer,136,146
35631,6894,Kayseri Erciyesspor,Baniyas SC,4785,£1.28m,Free transfer,174,183
35627,6163,FK Senica,Robur Siena,1387,£128k,Free transfer,154,75
35959,19657,Vendsyssel FF,Naestved Boldklub,5091,£170k,Free transfer,39,39
36059,3521,FK Zemun,FK Rad,902,£170k,Free transfer,215,215
36059,4633,FK Novi Pazar,FK Zemun,3521,£170k,Free transfer,215,215
36248,7009,GAIS Göteborg,FC Trollhättan,9015,£64k,Free transfer,147,147
36244,18532,SKN St. Pölten Juniors,FC Stadlau,4406,£85k,Free transfer,127,127
36238,16198,FK Atyrau,Apollon Smyrnis,441,£425k,Free transfer,81,56
36830,999,NK Istra 1961,Ordabasy Shymkent,16779,£850k,?,37,81
36823,33328,FK Radnik Surdulica,FK Rad,902,£298k,Free transfer,215,215
36823,7567,FK Radnicki Nis,FK Radnik Surdulica,33328,£255k,Free transfer,215,215
36818,12132,FK Jagodina,FK Rad,902,£255k,?,215,215
36817,10319,FK Bezanija,FK Drina Zvornik,8577,£170k,Free transfer,215,24
37091,6894,Kayseri Erciyesspor,Gaziantepspor,524,£510k,Free transfer,174,174
37078,3892,FC Eindhoven,Hamilton Academical FC,2999,£43k,Free transfer,122,190
37398,2381,Sivasspor,Olympiacos Piraeus,683,£3.19m,£1.70m,174,56
37397,993,Córdoba CF,Aston Villa,405,£680k,£595k,157,189
37397,1025,Bologna FC 1909,Córdoba CF,993,£680k,£425k,75,157
37393,677,Ipswich Town,Bradford City,1027,£425k,Free transfer,189,189
37389,720,FC Porto,Club Atlético Boca Juniors,189,£6.80m,Free transfer,136,9
37389,180,Southampton FC,FC Porto,720,£6.80m,Free transfer,189,136
37388,415,FC Toulouse,CF Belenenses,2457,£1.70m,?,50,136
37892,681,Real Sociedad,SD Eibar,1533,£850k,Free transfer,157,157
37889,252,Genoa CFC,Trapani Calcio,4331,£765k,?,75,75
37981,86,SV Werder Bremen,Watford FC,1010,£2.55m,Free transfer,40,189
38295,6429,Universitatea Cluj,Farul Constanta,5267,£43k,Free transfer,140,140
38294,6560,Zaglebie Sosnowiec,Okocimski KS Brzesko,1882,£85k,Free transfer,135,135
38609,83,VfR Aalen,1.FC Heidenheim 1846,2036,£425k,Free transfer,40,40
38777,937,Júbilo Iwata,FC Tokyo,6631,£850k,?,77,77
38763,10091,Dorados de Sinaloa,Barcelona SC Guayaquil,3523,£850k,?,110,44
38761,28999,Real Garcilaso,South China AA,11720,£170k,?,133,218
38761,25576,Mushuc Runa SC,Real Garcilaso,28999,£255k,?,44,133
38757,468,Sparta Rotterdam,Almere City FC,723,£106k,Free transfer,122,122
39049,813,Columbus Crew SC,New England Revolution,626,£850k,?,184,184
39335,83,VfR Aalen,1.FC Magdeburg,187,£340k,Free transfer,40,40
39607,10680,Bidvest Wits FC,Ajax Cape Town,2926,£319k,?,159,159
39924,1080,Stade Laval,AS Nancy-Lorraine,1159,£425k,Free transfer,50,50
39921,13467,Racing FC Union Luxembourg,Petrolul Ploiesti,9465,£128k,Free transfer,99,140
39914,1158,FC Lorient,AEL Limassol,786,£510k,Free transfer,50,188
39913,826,RC Lens,Stade Rennais FC,273,£1.28m,Free transfer,50,50
39908,164,Blackburn Rovers,Aston Villa,405,£2.98m,£7.23m,189,189
40813,527,FC Lausanne-Sport,FC Le Mont LS,12424,£340k,?,148,148
40809,527,FC Lausanne-Sport,FC Wil 1900,850,£340k,£510k,148,148
40809,61,Servette FC,FC Lausanne-Sport,527,£255k,Free transfer,148,148
40795,429,Apollon Limassol,Asteras Tripolis,6676,£383k,Free transfer,188,56
40792,254,SV Sandhausen,VfL Bochum,80,£765k,Free transfer,40,40
41115,466,Preston North End,Scunthorpe United,2964,£128k,Free transfer,189,189
41112,12,AS Roma,Watford FC,1010,£1.70m,£2.13m,75,189
41103,1189,St. Patricks Athletic,Glenavon FC,3463,£43k,Free transfer,72,192
41102,354,KV Mechelen,Waasland-Beveren,28643,£213k,?,19,19
41409,223,HNK Sibenik,NK Hrvatski Dragovoljac,485,£170k,?,37,37
42029,428,Gornik Zabrze,Heart of Midlothian FC,43,£255k,Free transfer,135,190
42322,11540,NSÍ Runavík,Skála IF,10742,£43k,Free transfer,208,208
42611,2759,Ross County FC,St. Mirren FC,465,£255k,Free transfer,190,190
42907,7153,Zawisza Bydgoszcz,Podbeskidzie Bielsko-Biala,6361,£170k,Free transfer,135,135
42891,428,Gornik Zabrze,Nea Salamina Famagusta,18945,£298k,Free transfer,135,188
43202,36100,Western Sydney Wanderers,Chiangrai United,6759,£425k,?,12,167
43518,3060,Atromitos Athen,Medipol Basaksehir,6890,£1.28m,£340k,56,174
43514,3194,Brechin City FC,Greenock Morton FC,3026,-,Free transfer,190,190
43500,15276,FK Spartak Subotica,Chemnitzer FC,21,£170k,Free transfer,215,40
43762,10586,Aris Limassol,Dunarea Calarasi,37239,£43k,Free transfer,188,140
43761,11615,CD Guijuelo,AD Alcorcón,11596,£255k,Free transfer,157,157
43982,2976,Hapoel Beer Sheva,Hapoel Haifa,810,£638k,?,74,74
43979,8841,Xäzär Länkäran,Sumgayit PFC,36999,£340k,?,13,13
43979,3207,Boluspor,Xäzär Länkäran,8841,£425k,Free transfer,174,13
43976,2867,Recreativo Huelva,CD Lugo,11000,-,Free transfer,157,157
43966,10481,Tobol Kostanay,FK Trakai,32832,£170k,Free transfer,81,98
43962,833,Denizlispor,AZAL PFK Baku,13326,£255k,Free transfer,174,13
44294,749,FC Empoli,Trapani Calcio,4331,£340k,?,75,75
44594,24,Eintracht Frankfurt,SV Werder Bremen,86,£1.28m,Free transfer,40,40
44935,1234,CA Independiente de Avellaneda,Club Nacional,866,£425k,Free transfer,9,179
45035,22010,FK Gabala,Inter Baku,8956,£298k,?,13,13
45035,8841,Xäzär Länkäran,FK Gabala,22010,£383k,Free transfer,13,13
45035,10625,Qarabag Agdam,Xäzär Länkäran,8841,£383k,Free transfer,13,13
45161,498,KSC Lokeren,SV Zulte Waregem,3508,£595k,?,19,19
45259,826,RC Lens,Qarabag Agdam,10625,£680k,?,50,13
45249,501,FK Bodø/Glimt,Rosenborg BK,195,£85k,Free transfer,125,125
45243,7788,Académico Viseu FC,FC Penafiel,3327,£170k,Free transfer,136,136
45568,1387,Robur Siena,AC Pisa 1909,4172,£298k,Free transfer,75,75
45568,4097,US Catanzaro,Robur Siena,1387,£298k,Free transfer,75,75
45565,252,Genoa CFC,AC Milan,5,£5.95m,£3.83m,75,75
45564,324,Pogon Szczecin,Gornik Zabrze,428,£170k,Free transfer,135,135
45562,45080,Delhi Dynamos FC,CP Cacereño,11602,£255k,Free transfer,67,157
45562,2778,FC Nordsjaelland,Delhi Dynamos FC,45080,£255k,Free transfer,39,67
45561,1062,Shimizu S-Pulse,FC Machida Zelvia,23568,£425k,-,77,77
45673,15540,Al-Shabab Al-Arabi Club,Al-Wasl Sports Club,16214,£1.28m,?,183,183
45771,10131,SV Grödig,LASK Linz,413,£298k,Free transfer,127,127
46062,265,Panathinaikos Athens,RSC Charleroi,172,£1.49m,Free transfer,56,19
46160,4633,FK Novi Pazar,Zhetysu Taldykorgan,15299,£170k,Free transfer,215,81
46155,9937,FK Donji Srem Pecinci,FK Metalac Gornji Milanovac,12135,£213k,Free transfer,215,215
