source,target,weight
2,2,132
2,4,1
2,19,1
2,146,1
2,173,1
2,183,1
3,3,47
3,13,1
3,19,1
3,28,2
3,37,1
3,49,1
3,53,2
3,56,1
3,71,1
3,74,1
3,100,7
3,141,1
3,154,1
3,188,1
3,208,1
4,2,1
4,4,75
4,99,1
4,107,1
4,146,2
4,173,1
9,3,2
9,9,239
9,26,7
9,33,16
9,34,1
9,44,7
9,50,1
9,56,9
9,67,1
9,75,3
9,77,1
9,81,1
9,83,4
9,110,18
9,133,3
9,136,2
9,140,2
9,148,1
9,157,9
9,174,1
9,179,18
9,182,2
9,183,1
9,184,2
9,188,1
9,189,2
9,190,1
10,10,56
10,18,2
10,19,1
10,24,1
10,28,1
10,53,5
10,71,1
10,100,1
10,112,2
10,135,1
10,141,13
10,154,2
10,177,3
12,12,32
12,19,1
12,24,1
12,34,2
12,36,1
12,39,2
12,56,2
12,71,1
12,72,1
12,77,2
12,81,1
12,87,4
12,110,1
12,112,1
12,122,2
12,125,1
12,127,1
12,136,1
12,148,1
12,157,1
12,159,2
12,167,3
12,178,1
12,183,1
12,189,2
13,3,2
13,13,81
13,26,1
13,36,1
13,37,1
13,56,2
13,71,1
13,74,1
13,92,2
13,106,1
13,120,1
13,122,2
13,136,1
13,140,3
13,141,1
13,155,1
13,172,1
13,174,4
13,177,3
13,188,1
13,218,1
18,10,1
18,18,92
18,24,1
18,34,1
18,37,1
18,40,1
18,53,1
18,56,1
18,74,2
18,81,3
18,92,4
18,98,1
18,112,1
18,135,2
18,141,3
18,154,2
18,174,2
18,177,6
18,178,1
18,215,3
19,13,1
19,19,91
19,34,3
19,39,3
19,40,1
19,50,8
19,56,3
19,74,2
19,75,4
19,99,8
19,107,4
19,110,1
19,122,11
19,135,1
19,136,3
19,137,3
19,147,2
19,148,2
19,157,7
19,174,6
19,178,2
19,184,2
19,189,8
19,190,1
19,215,2
24,3,2
24,10,2
24,24,220
24,28,1
24,34,1
24,37,13
24,47,1
24,49,1
24,56,3
24,71,1
24,73,1
24,74,2
24,77,1
24,81,1
24,87,1
24,99,1
24,100,2
24,107,1
24,112,1
24,125,1
24,127,1
24,148,1
24,154,1
24,155,3
24,172,1
24,174,4
24,178,1
24,188,1
24,215,31
26,3,1
26,9,3
26,19,3
26,26,177
26,28,3
26,33,1
26,34,10
26,40,3
26,50,6
26,56,2
26,67,3
26,75,5
26,77,12
26,81,1
26,87,7
26,98,1
26,110,2
26,127,2
26,135,1
26,136,21
26,137,1
26,141,2
26,146,8
26,147,1
26,157,4
26,167,4
26,174,12
26,177,3
26,179,1
26,183,10
26,184,6
26,189,2
26,215,1
28,2,1
28,3,2
28,10,2
28,13,1
28,19,1
28,28,121
28,34,1
28,37,1
28,40,1
28,50,1
28,56,4
28,71,1
28,81,2
28,122,1
28,125,1
28,135,3
28,136,1
28,140,6
28,141,1
28,146,1
28,148,1
28,155,1
28,157,1
28,174,6
28,183,1
28,188,4
28,189,1
28,190,3
28,215,1
33,9,7
33,26,3
33,33,63
33,56,1
33,75,2
33,81,1
33,83,2
33,110,6
33,133,4
33,137,1
33,140,1
33,147,1
33,157,1
33,174,1
33,179,5
33,183,1
34,9,1
34,19,2
34,26,9
34,34,168
34,36,1
34,39,3
34,40,1
34,75,1
34,77,8
34,83,1
34,87,5
34,125,1
34,133,2
34,135,1
34,136,1
34,137,2
34,140,1
34,147,2
34,154,1
34,155,2
34,167,2
34,174,2
34,178,1
34,179,2
34,183,2
34,215,1
36,36,91
36,39,1
36,83,1
36,125,1
36,133,1
36,174,1
36,179,1
36,184,4
37,3,3
37,12,1
37,19,4
37,24,16
37,26,1
37,28,1
37,34,1
37,37,115
37,39,1
37,40,1
37,56,2
37,73,5
37,74,2
37,75,5
37,81,3
37,87,2
37,98,2
37,100,4
37,106,1
37,112,3
37,125,1
37,127,2
37,135,4
37,136,2
37,140,2
37,141,1
37,148,5
37,153,2
37,154,3
37,155,18
37,172,2
37,174,6
37,177,1
37,178,1
37,188,2
37,189,1
